timestamp	cpu_percent	rss_kb
2025-08-03 19:52:15	69.2	606940
2025-08-03 19:52:16	69.2	606940
2025-08-03 19:52:17	69.1	606940
2025-08-03 19:52:18	69.2	601416
2025-08-03 19:52:19	69.2	609488
2025-08-03 19:52:20	69.2	609488
2025-08-03 19:52:21	69.1	609488
2025-08-03 19:52:22	69.2	608044
2025-08-03 19:52:23	69.2	608116
2025-08-03 19:52:24	69.2	608116
2025-08-03 19:52:25	69.2	608116
2025-08-03 19:52:26	69.3	606940
2025-08-03 19:52:28	69.2	606940
2025-08-03 19:52:29	69.2	606940
2025-08-03 19:52:30	69.2	617484
2025-08-03 19:52:31	69.2	607136
2025-08-03 19:52:32	69.2	607136
2025-08-03 19:52:33	69.2	607136
2025-08-03 19:52:34	69.2	614508
2025-08-03 19:52:35	69.2	607332
2025-08-03 19:52:36	69.2	607332
2025-08-03 19:52:38	69.2	614180
2025-08-03 19:52:39	69.3	611056
2025-08-03 19:52:40	69.2	611056
2025-08-03 19:52:41	69.2	611056
2025-08-03 19:52:42	69.2	609228
2025-08-03 19:52:43	69.3	610660
2025-08-03 19:52:44	69.2	610660
2025-08-03 19:52:45	69.2	610660
2025-08-03 19:52:47	69.3	608704
2025-08-03 19:52:48	69.2	608704
2025-08-03 19:52:49	69.2	608704
2025-08-03 19:52:50	69.2	617664
2025-08-03 19:52:51	69.3	607528
2025-08-03 19:52:52	69.2	607528
2025-08-03 19:52:53	69.2	607528
2025-08-03 19:52:54	69.3	600684
2025-08-03 19:52:55	69.3	607136
2025-08-03 19:52:56	69.3	607136
2025-08-03 19:52:57	69.2	607136
2025-08-03 19:52:58	69.3	606364
2025-08-03 19:52:59	69.3	608900
2025-08-03 19:53:01	69.2	608900
2025-08-03 19:53:02	69.2	608900
2025-08-03 19:53:03	69.3	608704
2025-08-03 19:53:04	69.3	608704
2025-08-03 19:53:05	69.2	608704
2025-08-03 19:53:06	69.2	614228
2025-08-03 19:53:07	69.3	607136
2025-08-03 19:53:08	69.3	607136
2025-08-03 19:53:09	69.2	607136
2025-08-03 19:53:10	69.3	617668
2025-08-03 19:53:11	69.3	606940
2025-08-03 19:53:12	69.3	606940
2025-08-03 19:53:13	69.3	606940
2025-08-03 19:53:14	69.3	614572
2025-08-03 19:53:16	69.3	594716
2025-08-03 19:53:17	69.3	594716
2025-08-03 19:53:18	69.2	594716
2025-08-03 19:53:19	69.3	600892
2025-08-03 19:53:20	69.3	604604
2025-08-03 19:53:21	69.3	604352
2025-08-03 19:53:22	69.2	604352
2025-08-03 19:53:23	69.3	614092
2025-08-03 19:53:24	69.3	603372
2025-08-03 19:53:25	69.3	603372
2025-08-03 19:53:26	69.2	603372
2025-08-03 19:53:28	69.3	614180
2025-08-03 19:53:29	69.3	603768
2025-08-03 19:53:30	69.3	603768
2025-08-03 19:53:31	69.2	603768
2025-08-03 19:53:32	69.3	610616
2025-08-03 19:53:33	69.3	592916
2025-08-03 19:53:34	69.3	592916
2025-08-03 19:53:35	69.3	607684
2025-08-03 19:53:36	69.3	603576
2025-08-03 19:53:37	69.3	603576
2025-08-03 19:53:38	69.3	603576
2025-08-03 19:53:39	69.3	596220
2025-08-03 19:53:40	69.4	604360
2025-08-03 19:53:42	69.3	604360
2025-08-03 19:53:43	69.3	604360
2025-08-03 19:53:44	69.3	599360
2025-08-03 19:53:45	69.3	604560
2025-08-03 19:53:46	69.3	604560
2025-08-03 19:53:47	69.3	604560
2025-08-03 19:53:48	69.4	603384
2025-08-03 19:53:49	69.3	603384
2025-08-03 19:53:50	69.3	603384
2025-08-03 19:53:51	69.3	614456
2025-08-03 19:53:52	69.4	603244
2025-08-03 19:53:53	69.4	603244
2025-08-03 19:53:54	69.3	603244
2025-08-03 19:53:56	69.4	598856
2025-08-03 19:53:57	69.4	604756
2025-08-03 19:53:58	69.3	604756
2025-08-03 19:53:59	69.3	604756
2025-08-03 19:54:00	69.4	605080
2025-08-03 19:54:01	69.4	605596
2025-08-03 19:54:02	69.3	605596
2025-08-03 19:54:03	69.3	607692
2025-08-03 19:54:04	69.4	603384
2025-08-03 19:54:05	69.4	603384
2025-08-03 19:54:06	69.4	603384
2025-08-03 19:54:07	69.4	605772
2025-08-03 19:54:08	69.4	607104
2025-08-03 19:54:10	69.4	607104
2025-08-03 19:54:11	69.3	607104
2025-08-03 19:54:12	69.4	598684
2025-08-03 19:54:13	69.4	603580
2025-08-03 19:54:14	69.4	603580
2025-08-03 19:54:15	69.3	603580
2025-08-03 19:54:16	69.4	603688
2025-08-03 19:54:17	69.4	603976
2025-08-03 19:54:18	69.4	603976
2025-08-03 19:54:19	69.4	611076
2025-08-03 19:54:20	69.5	592932
2025-08-03 19:54:21	69.4	592932
2025-08-03 19:54:22	69.4	592932
2025-08-03 19:54:24	69.4	614564
2025-08-03 19:54:25	69.4	603652
2025-08-03 19:54:26	69.4	603652
2025-08-03 19:54:27	69.4	603652
2025-08-03 19:54:28	69.5	610756
2025-08-03 19:54:29	69.4	591168
2025-08-03 19:54:30	69.4	591168
2025-08-03 19:54:31	69.4	608044
2025-08-03 19:54:32	69.5	603588
2025-08-03 19:54:33	69.4	603588
2025-08-03 19:54:34	69.4	603588
2025-08-03 19:54:35	69.4	610956
2025-08-03 19:54:36	69.5	592932
2025-08-03 19:54:38	69.5	592932
2025-08-03 19:54:39	69.4	592932
2025-08-03 19:54:40	69.4	598048
2025-08-03 19:54:41	69.5	604768
2025-08-03 19:54:42	69.4	604768
2025-08-03 19:54:43	69.4	604768
2025-08-03 19:54:44	69.5	603712
2025-08-03 19:54:45	69.5	603788
2025-08-03 19:54:46	69.4	603788
2025-08-03 19:54:47	69.4	610900
2025-08-03 19:54:48	69.5	606924
2025-08-03 19:54:49	69.5	606924
2025-08-03 19:54:50	69.5	606924
2025-08-03 19:54:52	69.5	596456
2025-08-03 19:54:53	69.5	604396
2025-08-03 19:54:54	69.5	604396
2025-08-03 19:54:55	69.4	604396
2025-08-03 19:54:56	69.5	599952
2025-08-03 19:54:57	69.5	603404
2025-08-03 19:54:58	69.5	603404
2025-08-03 19:54:59	69.4	603404
2025-08-03 19:55:00	69.5	605364
2025-08-03 19:55:01	69.5	605364
2025-08-03 19:55:02	69.5	605364
2025-08-03 19:55:03	69.5	613792
2025-08-03 19:55:04	69.5	603600
2025-08-03 19:55:05	69.5	603600
2025-08-03 19:55:07	69.5	603600
2025-08-03 19:55:08	69.5	600652
2025-08-03 19:55:09	69.5	603808
2025-08-03 19:55:10	69.5	603808
2025-08-03 19:55:11	69.5	603808
2025-08-03 19:55:12	69.6	614076
2025-08-03 19:55:13	69.5	593152
2025-08-03 19:55:14	69.5	593152
2025-08-03 19:55:15	69.5	608180
2025-08-03 19:55:16	69.6	606940
2025-08-03 19:55:17	69.5	606940
2025-08-03 19:55:18	69.5	606940
2025-08-03 19:55:19	69.6	597224
2025-08-03 19:55:21	69.6	603612
2025-08-03 19:55:22	69.5	603612
2025-08-03 19:55:23	69.5	603612
2025-08-03 19:55:24	69.6	604412
2025-08-03 19:55:25	69.6	604596
2025-08-03 19:55:26	69.5	604596
2025-08-03 19:55:27	69.5	608264
2025-08-03 19:55:28	69.6	604064
2025-08-03 19:55:29	69.6	604064
